loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
1,2,1,0,0,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231000,,,0,G8 III,4742.00,19.00,2.70,[Fe/H],2.243,2.31,,,78.28058,264.13775,88.1701000,93.1846000,10.7104000
2,1,1,0,0,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,,,0,K4 III,4213.00,29.79,2.78,[Fe/H],2.430,1.93,1.560,,41.04437,108.71900,10.1132000,125.3210000,7.9538800
3,1,1,0,0,185.84000000,0.830000,12.900,1525.50000,3.900000,0.000000,,,0,K0 III,4813.00,11.00,2.20,[Fe/H],1.763,2.63,4.500,,-21.05141,106.41269,-83.7582000,75.4392000,13.2289000
4,1,2,0,0,1773.40002000,2.930000,12.900,1481.08780,3.790000,0.370000,,,0,K0 V,5338.00,0.93,0.90,[Fe/H],-0.153,4.45,3.900,,46.94447,69.16849,-296.4640000,17.9323000,55.7363000
5,3,1,0,0,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,,,0,G3 V,5750.00,1.13,1.08,[Fe/H],0.097,4.36,7.400,,13.20446,83.33558,-162.4930000,21.1397000,47.2754000
6,2,1,0,0,993.30000000,2.600000,12.500,3273.50000,9.210000,0.080000,,,0,G6 III,4979.00,8.50,2.30,[Fe/H],1.602,2.82,1.100,,-21.97480,58.69121,-34.1976000,76.2220000,13.0922000
7,1,1,0,0,,330.000000,18.647,3000.00000,2.540000,,,1700,0,K7 V,4060.00,1.31,0.85,,-0.370,4.00,0.005,,22.03031,352.89050,-23.2043000,139.1350000,7.1594900
8,1,1,0,0,30.35060000,0.190000,13.900,289.22530,0.592000,0.042000,,,0,G3 IV,4893.00,10.64,0.99,[Fe/H],1.774,2.42,6.920,,60.64470,90.16373,-46.8161000,95.9863000,10.3900000
9,1,2,0,0,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,,,0,K0 IV,5098.00,4.90,1.54,[Fe/H],1.164,3.50,2.700,,44.71580,245.08569,-36.2721000,72.0691000,13.8488000
10,1,2,0,0,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,,,0,K0 IV,5098.00,4.90,1.54,[Fe/H],1.164,3.50,2.700,,44.71580,245.08569,-36.2721000,72.0691000,13.8488000
11,2,1,0,1,,84.000000,12.300,4131.79000,12.200000,,,,0,M5.5/M6,,,0.19,,,,0.030,,-61.77586,299.26888,,47.2000000,
12,1,1,0,0,,52.000000,11.209,7786.50000,30.400000,,,1600,0,M3.5 V,3530.00,0.37,0.40,,-1.720,4.86,0.120,,-82.51990,195.45385,-123.3980000,33.8281000,29.5326000
