num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
3,0,11688.0,12.0,13.4,635.66,0.45,700.0,7295.0,1.49,1.65,0.752,0.02,-30.65764,198.61297,29.7575,33.577,0.0011567139022197845,0.08228199099683813,1
2,0,14.6516,0.1134,13.9,263.9785,0.0,700.0,5172.0,0.94,0.91,-0.197,5.5,37.69663,196.79526,12.5855,79.4274,0.000870988017613357,0.13529234007109514,5
2,0,0.7365474,0.01544,1.875,7.99,0.05,1958.0,5172.0,0.94,0.91,-0.197,10.2,37.69663,196.79526,12.5855,79.4274,2.636273128580821e-05,0.018249866016784414,5
1,0,8.463,0.0645,4.07,17.0,0.0,593.0,3700.0,0.75,0.5,-1.046,0.022,-36.80401,12.65304,9.7221,102.829,0.00010208547008547007,0.04965001771165427,2
1,0,18.859019,0.1101,3.24,13.6,0.0,454.0,3700.0,0.75,0.5,-1.065,0.022,-36.80401,12.65304,9.7221,102.829,8.166837606837606e-05,0.03952482982451102,2
1,0,41.6855,0.241,2.578,22.2481,0.0,546.0,5766.0,1.08,1.67,-0.056,3.34,-28.05348,166.7966,179.461,5.54366,4.000013643903746e-05,0.021839637192984693,1
1,0,1.5089557,0.02752,16.7,327.35,0.0,1898.0,5950.0,1.11,0.95,0.298,1.6,-2.10712,215.33882,787.909,1.24176,0.0010346030536371093,0.1376511215526639,1
1,0,13.2406,0.1055,10.87,874.0,0.53,600.0,5075.0,0.79,0.89,-0.726,3.0,-6.95299,37.36069,338.386,2.92694,0.0029485360493952694,0.12588926986416862,1
1,0,2.99433,0.0436,16.03,740.51,0.0,1657.0,6440.0,1.37,1.27,0.378,2.0,4.63005,37.24009,655.037,1.50071,0.001750701978994707,0.10705309240452007,1
1,0,2.828042,0.04016,16.14,291.438,0.07,1442.0,5675.0,1.12,1.08,0.07,6.3,-2.45441,213.13155,1126.37,0.861234,0.0008102283559577676,0.13184746060011734,1
1,0,4.03519,0.051,9.92,415.704,0.0,1700.0,5945.0,1.01,1.09,0.073,1.635,-2.43966,217.3986,1148.93,0.843947,0.0011450981720564019,0.08986209934432281,1
1,0,1.51214,0.027,12.22,2415.4,0.0,1952.0,6035.0,1.21,1.13,0.119,4.2,-2.02059,218.11787,1744.6,0.547358,0.006417939730464458,0.09240002687012638,1
1,0,3.7681,0.0461,11.43,772.29,0.0,1626.0,5740.0,1.59,1.04,0.134,10.7,0.66631,25.15299,1176.12,0.82338,0.0022296263487643574,0.0657711397761124,1
1,0,1.9000693,0.0295,14.68,1102.82,0.08,1550.0,5440.0,1.0,0.95,-0.17,0.032,-4.18491,210.8191,764.889,1.28063,0.003485507681723161,0.1343112272740328,1
1,0,3.89713,0.0518,14.46,352.78,0.047,2000.0,6090.0,1.65,1.21,0.544,5.0,-5.26125,210.42057,790.663,1.23764,0.0008753940723566392,0.08018084164736662,1
2,0,1.7429935,0.02798,16.432,1102.82,0.0143,1521.0,5625.0,0.91,0.96,-0.131,2.7,-7.29102,38.26267,213.283,4.66076,0.003449200310038545,0.16520960614478147,1
1,0,9.24285,0.09,9.416,1366.669,0.59,1024.0,5880.0,1.02,1.14,0.17,0.1,-4.4686,210.38123,844.061,1.15699,0.0035995110246707777,0.08446028450154223,2
1,0,9.75598,0.092,4.88,12.2,0.077,885.0,5939.0,1.14,1.1,0.014,3.3,4.775,37.48307,627.158,1.56624,3.3300607888843175e-05,0.03916527971564607,1
1,0,3.6313,0.048,11.77,889.9,0.16,1660.0,5900.0,1.61,1.14,0.087,7.2,4.71959,35.41749,1060.97,0.91542,0.0023438044331542786,0.06688625014873685,1
1,0,5.1134,0.056,3.7,5.7,0.0,1070.0,4950.0,0.86,0.91,-0.601,11.0,-2.52763,215.81744,591.555,1.66329,1.8806954734556546e-05,0.03936312186441934,2
1,0,11.759,0.098,5.0,28.0,0.0,850.0,4950.0,0.86,0.91,-0.601,11.0,-2.52763,215.81744,591.555,1.66329,9.238504080133039e-05,0.05319340792489101,2
1,0,4.86069,0.0578,12.11,85.81,0.0,1330.0,6040.0,1.19,1.09,0.141,4.5,4.94113,37.73014,1103.48,0.878853,0.00023637221230529378,0.09310723801253276,1
1,0,3.57532,0.0476,11.287,3302.11,0.065,1500.0,5900.0,1.08,1.05,-0.166,4.21,6.39649,35.89455,1010.28,0.96604,0.009442505647729176,0.09561830294694268,1
1,0,4.2568,0.05783,11.32,6883.91,0.0,1695.0,6740.0,1.56,1.37,0.391,2.2,-8.12065,37.26302,768.771,1.27472,0.015086886826450586,0.06639082882441011,1
1,0,9.20205,0.09,13.34,228.83,0.0,1074.0,6190.0,1.17,1.16,0.185,1.0,-0.89847,213.22759,726.412,1.34844,0.000592297619666788,0.10431727403034524,1
1,0,4.0378962,0.04947,15.558,148.42,0.09,1438.0,6100.0,1.19,1.0,0.18,6.9,-1.0362,211.48472,882.472,1.1054,0.00044563310206133727,0.11961704450858668,1
1,0,8.886593,0.0855,13.068,940.74,0.1,1017.0,6090.0,1.02,1.05,0.026,2.5,4.6158,38.06304,645.294,1.52152,0.00269008081591611,0.11721824531288806,1
1,0,0.85359163,0.017016,1.681,4.07661,0.0,1756.0,5275.0,0.83,0.82,-0.289,1.75,-2.17853,213.01042,159.906,6.22504,1.4926924254129418e-05,0.018530019783300707,2
1,0,6.21229,0.063,6.39,69.92,0.0,870.0,5080.0,0.77,0.88,-0.4,3.0,-7.10426,38.21286,322.037,3.07662,0.00023856337126925363,0.07592702698972623,1
2,0,95.272656,0.4021,11.949,266.9772,0.133,420.0,5625.0,0.96,0.96,-0.254,6.0,4.66217,37.52335,412.98,2.39295,0.000835002848164907,0.11387977227360196,1
1,0,18.57,0.1462,5.29,24.27,0.083,877.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,6.022397566782593e-05,0.03841239524023796,4
1,0,6.584,0.0733,3.06,9.6,0.057,1239.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,2.3821597297533124e-05,0.022219646396054473,4
1,0,2.882,0.0422,1.65,3.35,0.07,1632.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,8.312744890284997e-06,0.01198118188022545,4
1,0,5.516,0.0651,1.86,4.13,0.07,1314.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,1.0248249670709563e-05,0.013506059574072327,4
1,0,5.2072,0.0664,14.3,138.89171,0.078,1000.0,6500.0,1.78,1.44,0.104,2.0,-75.5342,246.92255,137.94,7.22084,0.0002896001941651304,0.07350253153486626,1
2,0,6.6732,0.0662,1.41,2.58,0.14,854.0,5138.0,0.91,0.87,-0.293,10.9,-29.14463,283.20965,45.23,22.11,8.904006518610982e-06,0.014176335483455565,1
1,0,21.1701963,0.1195,1.92,4.35,0.06,431.0,4057.0,0.58,0.62,-1.153,0.79,32.03739,208.28299,186.197,5.34209,2.10660244246582e-05,0.030287225919165533,1
1,0,19.49221,0.1493,5.76,27.0,0.0,817.0,6069.0,1.39,1.17,0.373,3.99,38.12775,208.78206,181.69,5.47529,6.92887806009978e-05,0.03791350582686908,1
